Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Total;03 Asturias, Principado de;90 años;2035;4.649,64435
Total;03 Asturias, Principado de;90 años;2034;4.491,070141
Total;03 Asturias, Principado de;90 años;2033;3.695,203081
Total;03 Asturias, Principado de;90 años;2032;3.546,084377
Total;03 Asturias, Principado de;90 años;2031;3.735,168688
Total;03 Asturias, Principado de;90 años;2030;2.955,041771
Total;03 Asturias, Principado de;90 años;2029;3.396,390115
Total;03 Asturias, Principado de;90 años;2028;3.776,681201
Total;03 Asturias, Principado de;90 años;2027;4.374,457765
Total;03 Asturias, Principado de;90 años;2026;4.379,703894
Total;03 Asturias, Principado de;90 años;2025;4.550,426482
Total;03 Asturias, Principado de;90 años;2024;4.519
Total;03 Asturias, Principado de;91 años;2041;""
Total;03 Asturias, Principado de;91 años;2040;""
Total;03 Asturias, Principado de;91 años;2039;4.500,65491
Total;03 Asturias, Principado de;91 años;2038;4.471,223726
Total;03 Asturias, Principado de;91 años;2037;4.418,858893
Total;03 Asturias, Principado de;91 años;2036;4.084,933528
Total;03 Asturias, Principado de;91 años;2035;3.940,885088
Total;03 Asturias, Principado de;91 años;2034;3.237,305055
Total;03 Asturias, Principado de;91 años;2033;3.100,571465
Total;03 Asturias, Principado de;91 años;2032;3.263,975255
Total;03 Asturias, Principado de;91 años;2031;2.577,726592
Total;03 Asturias, Principado de;91 años;2030;2.956,948588
Total;03 Asturias, Principado de;91 años;2029;3.281,34721
Total;03 Asturias, Principado de;91 años;2028;3.793,627471
Total;03 Asturias, Principado de;91 años;2027;3.787,892332
Total;03 Asturias, Principado de;91 años;2026;3.927,020868
Total;03 Asturias, Principado de;91 años;2025;3.893,165534
Total;03 Asturias, Principado de;91 años;2024;4.045
Total;03 Asturias, Principado de;92 años;2041;""
Total;03 Asturias, Principado de;92 años;2040;""
Total;03 Asturias, Principado de;92 años;2039;3.888,374525
Total;03 Asturias, Principado de;92 años;2038;3.837,824108
Total;03 Asturias, Principado de;92 años;2037;3.541,719959
Total;03 Asturias, Principado de;92 años;2036;3.412,233668
Total;03 Asturias, Principado de;92 años;2035;2.798,039312
Total;03 Asturias, Principado de;92 años;2034;2.674,155593
Total;03 Asturias, Principado de;92 años;2033;2.812,992746
Total;03 Asturias, Principado de;92 años;2032;2.217,390406
Total;03 Asturias, Principado de;92 años;2031;2.538,220997
Total;03 Asturias, Principado de;92 años;2030;2.810,427114
Total;03 Asturias, Principado de;92 años;2029;3.242,545083
Total;03 Asturias, Principado de;92 años;2028;3.228,249055
Total;03 Asturias, Principado de;92 años;2027;3.338,982684
Total;03 Asturias, Principado de;92 años;2026;3.303,947646
Total;03 Asturias, Principado de;92 años;2025;3.422,676458
Total;03 Asturias, Principado de;92 años;2024;3.224
Total;03 Asturias, Principado de;93 años;2041;""
Total;03 Asturias, Principado de;93 años;2040;""
Total;03 Asturias, Principado de;93 años;2039;3.285,192704
Total;03 Asturias, Principado de;93 años;2038;3.025,930327
Total;03 Asturias, Principado de;93 años;2037;2.910,831284
Total;03 Asturias, Principado de;93 años;2036;2.382,085262
Total;03 Asturias, Principado de;93 años;2035;2.271,286874
Total;03 Asturias, Principado de;93 años;2034;2.386,907761
Total;03 Asturias, Principado de;93 años;2033;1.877,694348
Total;03 Asturias, Principado de;93 años;2032;2.144,347953
Total;03 Asturias, Principado de;93 años;2031;2.368,446605
Total;03 Asturias, Principado de;93 años;2030;2.726,376785
Total;03 Asturias, Principado de;93 años;2029;2.705,751341
Total;03 Asturias, Principado de;93 años;2028;2.791,328758
Total;03 Asturias, Principado de;93 años;2027;2.756,178361
Total;03 Asturias, Principado de;93 años;2026;2.846,029275
Total;03 Asturias, Principado de;93 años;2025;2.674,093743
Total;03 Asturias, Principado de;93 años;2024;2.736
Total;03 Asturias, Principado de;94 años;2041;""
Total;03 Asturias, Principado de;94 años;2040;""
Total;03 Asturias, Principado de;94 años;2039;2.546,099863
Total;03 Asturias, Principado de;94 años;2038;2.445,031162
Total;03 Asturias, Principado de;94 años;2037;1.996,453594
Total;03 Asturias, Principado de;94 años;2036;1.898,755397
Total;03 Asturias, Principado de;94 años;2035;1.993,026283
Total;03 Asturias, Principado de;94 años;2034;1.564,401652
Total;03 Asturias, Principado de;94 años;2033;1.781,986305
Total;03 Asturias, Principado de;94 años;2032;1.962,866754
Total;03 Asturias, Principado de;94 años;2031;2.253,764257
Total;03 Asturias, Principado de;94 años;2030;2.229,133033
Total;03 Asturias, Principado de;94 años;2029;2.293,133954
Total;03 Asturias, Principado de;94 años;2028;2.258,902809
Total;03 Asturias, Principado de;94 años;2027;2.324,486434
Total;03 Asturias, Principado de;94 años;2026;2.178,087271
Total;03 Asturias, Principado de;94 años;2025;2.221,633853
Total;03 Asturias, Principado de;94 años;2024;1.998
Total;03 Asturias, Principado de;95 años;2041;""
Total;03 Asturias, Principado de;95 años;2040;""
Total;03 Asturias, Principado de;95 años;2039;2.021,874003
Total;03 Asturias, Principado de;95 años;2038;1.647,000523
Total;03 Asturias, Principado de;95 años;2037;1.562,192117
Total;03 Asturias, Principado de;95 años;2036;1.637,439872
Total;03 Asturias, Principado de;95 años;2035;1.282,319391
Total;03 Asturias, Principado de;95 años;2034;1.456,669009
Total;03 Asturias, Principado de;95 años;2033;1.599,852135
Total;03 Asturias, Principado de;95 años;2032;1.831,864488
Total;03 Asturias, Principado de;95 años;2031;1.805,472842
Total;03 Asturias, Principado de;95 años;2030;1.851,711115
Total;03 Asturias, Principado de;95 años;2029;1.819,396234
Total;03 Asturias, Principado de;95 años;2028;1.865,480848
Total;03 Asturias, Principado de;95 años;2027;1.742,917285
Total;03 Asturias, Principado de;95 años;2026;1.771,987735
Total;03 Asturias, Principado de;95 años;2025;1.590,100101
Total;03 Asturias, Principado de;95 años;2024;1.578
Total;03 Asturias, Principado de;96 años;2041;""
Total;03 Asturias, Principado de;96 años;2040;""
Total;03 Asturias, Principado de;96 años;2039;1.334,804006
Total;03 Asturias, Principado de;96 años;2038;1.262,414732
Total;03 Asturias, Principado de;96 años;2037;1.320,972118
Total;03 Asturias, Principado de;96 años;2036;1.031,963079
Total;03 Asturias, Principado de;96 años;2035;1.168,800503
Total;03 Asturias, Principado de;96 años;2034;1.279,60936
Total;03 Asturias, Principado de;96 años;2033;1.460,741191
Total;03 Asturias, Principado de;96 años;2032;1.434,284086
Total;03 Asturias, Principado de;96 años;2031;1.466,212432
Total;03 Asturias, Principado de;96 años;2030;1.436,534437
Total;03 Asturias, Principado de;96 años;2029;1.467,242334
Total;03 Asturias, Principado de;96 años;2028;1.366,520323
Total;03 Asturias, Principado de;96 años;2027;1.384,456609
Total;03 Asturias, Principado de;96 años;2026;1.239,233041
Total;03 Asturias, Principado de;96 años;2025;1.226,255035
Total;03 Asturias, Principado de;96 años;2024;1.095
Total;03 Asturias, Principado de;97 años;2041;""
Total;03 Asturias, Principado de;97 años;2040;""
Total;03 Asturias, Principado de;97 años;2039;1.001,714034
Total;03 Asturias, Principado de;97 años;2038;1.046,106658
Total;03 Asturias, Principado de;97 años;2037;815,168457
Total;03 Asturias, Principado de;97 años;2036;920,363083
Total;03 Asturias, Principado de;97 años;2035;1.004,192721
Total;03 Asturias, Principado de;97 años;2034;1.142,615675
Total;03 Asturias, Principado de;97 años;2033;1.117,475955
Total;03 Asturias, Principado de;97 años;2032;1.138,378211
Total;03 Asturias, Principado de;97 años;2031;1.111,883392
Total;03 Asturias, Principado de;97 años;2030;1.131,025612
Total;03 Asturias, Principado de;97 años;2029;1.049,817277
Total;03 Asturias, Principado de;97 años;2028;1.059,647143
Total;03 Asturias, Principado de;97 años;2027;945,823536
Total;03 Asturias, Principado de;97 años;2026;932,972295
Total;03 Asturias, Principado de;97 años;2025;829,231946
Total;03 Asturias, Principado de;97 años;2024;730
Total;03 Asturias, Principado de;98 años;2041;""
Total;03 Asturias, Principado de;98 años;2040;""
Total;03 Asturias, Principado de;98 años;2039;815,419527
Total;03 Asturias, Principado de;98 años;2038;633,884327
Total;03 Asturias, Principado de;98 años;2037;713,502104
Total;03 Asturias, Principado de;98 años;2036;775,869598
Total;03 Asturias, Principado de;98 años;2035;880,011795
Total;03 Asturias, Principado de;98 años;2034;857,273924
Total;03 Asturias, Principado de;98 años;2033;870,329206
Total;03 Asturias, Principado de;98 años;2032;847,451634
Total;03 Asturias, Principado de;98 años;2031;858,580483
Total;03 Asturias, Principado de;98 años;2030;794,275499
Total;03 Asturias, Principado de;98 años;2029;798,805004
Total;03 Asturias, Principado de;98 años;2028;710,991386
Total;03 Asturias, Principado de;98 años;2027;699,185399
Total;03 Asturias, Principado de;98 años;2026;618,570723
Total;03 Asturias, Principado de;98 años;2025;542,708016
Total;03 Asturias, Principado de;98 años;2024;601
Total;03 Asturias, Principado de;99 años;2041;""
Total;03 Asturias, Principado de;99 años;2040;""
Total;03 Asturias, Principado de;99 años;2039;485,508665
Total;03 Asturias, Principado de;99 años;2038;544,92301
Total;03 Asturias, Principado de;99 años;2037;590,641467
Total;03 Asturias, Principado de;99 años;2036;667,857307
Total;03 Asturias, Principado de;99 años;2035;648,197875
Total;03 Asturias, Principado de;99 años;2034;655,913389
Total;03 Asturias, Principado de;99 años;2033;636,743822
Total;03 Asturias, Principado de;99 años;2032;642,6493
Total;03 Asturias, Principado de;99 años;2031;592,579699
Total;03 Asturias, Principado de;99 años;2030;593,876268
Total;03 Asturias, Principado de;99 años;2029;527,031237
Total;03 Asturias, Principado de;99 años;2028;516,674772
Total;03 Asturias, Principado de;99 años;2027;455,074531
Total;03 Asturias, Principado de;99 años;2026;397,891354
Total;03 Asturias, Principado de;99 años;2025;438,729357
Total;03 Asturias, Principado de;99 años;2024;407
Total;03 Asturias, Principado de;100 y más años;2041;""
Total;03 Asturias, Principado de;100 y más años;2040;""
Total;03 Asturias, Principado de;100 y más años;2039;1.342,688218
Total;03 Asturias, Principado de;100 y más años;2038;1.376,159109
Total;03 Asturias, Principado de;100 y más años;2037;1.387,370198
Total;03 Asturias, Principado de;100 y más años;2036;1.335,810193
Total;03 Asturias, Principado de;100 y más años;2035;1.291,082808
Total;03 Asturias, Principado de;100 y más años;2034;1.228,113112
Total;03 Asturias, Principado de;100 y más años;2033;1.165,143474
Total;03 Asturias, Principado de;100 y más años;2032;1.076,772473
Total;03 Asturias, Principado de;100 y más años;2031;1.005,624155
Total;03 Asturias, Principado de;100 y más años;2030;907,829356
Total;03 Asturias, Principado de;100 y más años;2029;837,098729
Total;03 Asturias, Principado de;100 y más años;2028;749,892032
Total;03 Asturias, Principado de;100 y más años;2027;688,367276
Total;03 Asturias, Principado de;100 y más años;2026;659,951204
Total;03 Asturias, Principado de;100 y más años;2025;583,982129
Total;03 Asturias, Principado de;100 y más años;2024;506
Total;04 Balears, Illes;Todas las edades;2041;""
Total;04 Balears, Illes;Todas las edades;2040;""
Total;04 Balears, Illes;Todas las edades;2039;1.466.656,997075
Total;04 Balears, Illes;Todas las edades;2038;1.457.726,729166
Total;04 Balears, Illes;Todas las edades;2037;1.448.563,411091
Total;04 Balears, Illes;Todas las edades;2036;1.439.105,840623
Total;04 Balears, Illes;Todas las edades;2035;1.429.252,132168
Total;04 Balears, Illes;Todas las edades;2034;1.418.848,737826
Total;04 Balears, Illes;Todas las edades;2033;1.407.686,430771
Total;04 Balears, Illes;Todas las edades;2032;1.395.496,440692
Total;04 Balears, Illes;Todas las edades;2031;1.381.960,774444
Total;04 Balears, Illes;Todas las edades;2030;1.366.727,744674
Total;04 Balears, Illes;Todas las edades;2029;1.349.449,941372
Total;04 Balears, Illes;Todas las edades;2028;1.329.848,090113
Total;04 Balears, Illes;Todas las edades;2027;1.307.811,993534
Total;04 Balears, Illes;Todas las edades;2026;1.283.539,931741
Total;04 Balears, Illes;Todas las edades;2025;1.257.759,069765
Total;04 Balears, Illes;Todas las edades;2024;1.232.014
Total;04 Balears, Illes;0 años;2041;""
Total;04 Balears, Illes;0 años;2040;""
Total;04 Balears, Illes;0 años;2039;11.771,49171
Total;04 Balears, Illes;0 años;2038;11.648,007224
Total;04 Balears, Illes;0 años;2037;11.512,844441
Total;04 Balears, Illes;0 años;2036;11.369,289299
Total;04 Balears, Illes;0 años;2035;11.220,723754
Total;04 Balears, Illes;0 años;2034;11.067,396212
Total;04 Balears, Illes;0 años;2033;10.908,325028
Total;04 Balears, Illes;0 años;2032;10.741,731138
Total;04 Balears, Illes;0 años;2031;10.564,338626
Total;04 Balears, Illes;0 años;2030;10.371,548694
Total;04 Balears, Illes;0 años;2029;10.160,417586
Total;04 Balears, Illes;0 años;2028;9.928,676185
Total;04 Balears, Illes;0 años;2027;9.675,592425
Total;04 Balears, Illes;0 años;2026;9.406,929489
Total;04 Balears, Illes;0 años;2025;9.136,071065
Total;04 Balears, Illes;0 años;2024;8.854
Total;04 Balears, Illes;1 año;2041;""
Total;04 Balears, Illes;1 año;2040;""
Total;04 Balears, Illes;1 año;2039;11.692,640322
Total;04 Balears, Illes;1 año;2038;11.560,033786
Total;04 Balears, Illes;1 año;2037;11.419,881161
Total;04 Balears, Illes;1 año;2036;11.275,871183
Total;04 Balears, Illes;1 año;2035;11.128,671371
Total;04 Balears, Illes;1 año;2034;10.977,741548
Total;04 Balears, Illes;1 año;2033;10.821,735505
Total;04 Balears, Illes;1 año;2032;10.657,761865
Total;04 Balears, Illes;1 año;2031;10.481,467416
Total;04 Balears, Illes;1 año;2030;10.289,833127
Total;04 Balears, Illes;1 año;2029;10.080,077347
Total;04 Balears, Illes;1 año;2028;9.850,312088
Total;04 Balears, Illes;1 año;2027;9.604,148474
Total;04 Balears, Illes;1 año;2026;9.351,541095
Total;04 Balears, Illes;1 año;2025;9.080,875338
Total;04 Balears, Illes;1 año;2024;9.099
Total;04 Balears, Illes;2 años;2041;""
Total;04 Balears, Illes;2 años;2040;""
Total;04 Balears, Illes;2 años;2039;11.608,256613
Total;04 Balears, Illes;2 años;2038;11.470,767728
Total;04 Balears, Illes;2 años;2037;11.330,212223
Total;04 Balears, Illes;2 años;2036;11.187,618959
Total;04 Balears, Illes;2 años;2035;11.042,851668
Total;04 Balears, Illes;2 años;2034;10.894,999373
Total;04 Balears, Illes;2 años;2033;10.741,621682
Total;04 Balears, Illes;2 años;2032;10.578,759749
Total;04 Balears, Illes;2 años;2031;10.403,595514
Total;04 Balears, Illes;2 años;2030;10.213,269809
Total;04 Balears, Illes;2 años;2029;10.005,376694
Total;04 Balears, Illes;2 años;2028;9.782,261593
Total;04 Balears, Illes;2 años;2027;9.551,610939
Total;04 Balears, Illes;2 años;2026;9.300,918028
Total;04 Balears, Illes;2 años;2025;9.323,144907
Total;04 Balears, Illes;2 años;2024;9.869
Total;04 Balears, Illes;3 años;2041;""
Total;04 Balears, Illes;3 años;2040;""
Total;04 Balears, Illes;3 años;2039;11.514,810466
Total;04 Balears, Illes;3 años;2038;11.376,950832
Total;04 Balears, Illes;3 años;2037;11.237,792646
Total;04 Balears, Illes;3 años;2036;11.097,533777
Total;04 Balears, Illes;3 años;2035;10.955,648887
Total;04 Balears, Illes;3 años;2034;10.810,140651
Total;04 Balears, Illes;3 años;2033;10.657,50635
Total;04 Balears, Illes;3 años;2032;10.495,283827
Total;04 Balears, Illes;3 años;2031;10.320,828295
Total;04 Balears, Illes;3 años;2030;10.131,68409
Total;04 Balears, Illes;3 años;2029;9.929,630429
Total;04 Balears, Illes;3 años;2028;9.721,062518
Total;04 Balears, Illes;3 años;2027;9.494,290727
Total;04 Balears, Illes;3 años;2026;9.530,339853
Total;04 Balears, Illes;3 años;2025;10.063,949291
Total;04 Balears, Illes;3 años;2024;9.838
Total;04 Balears, Illes;4 años;2041;""
Total;04 Balears, Illes;4 años;2040;""
Total;04 Balears, Illes;4 años;2039;11.423,399683
Total;04 Balears, Illes;4 años;2038;11.286,806667
Total;04 Balears, Illes;4 años;2037;11.149,79332
Total;04 Balears, Illes;4 años;2036;11.012,153536
Total;04 Balears, Illes;4 años;2035;10.872,282881
Total;04 Balears, Illes;4 años;2034;10.727,12384
Total;04 Balears, Illes;4 años;2033;10.574,62941
Total;04 Balears, Illes;4 años;2032;10.412,518225
Total;04 Balears, Illes;4 años;2031;10.238,572239
Total;04 Balears, Illes;4 años;2030;10.054,481471
Total;04 Balears, Illes;4 años;2029;9.866,073537
Total;04 Balears, Illes;4 años;2028;9.663,705623
Total;04 Balears, Illes;4 años;2027;9.718,421357
Total;04 Balears, Illes;4 años;2026;10.248,521024
Total;04 Balears, Illes;4 años;2025;10.032,259058
Total;04 Balears, Illes;4 años;2024;10.097
Total;04 Balears, Illes;5 años;2041;""
Total;04 Balears, Illes;5 años;2040;""
Total;04 Balears, Illes;5 años;2039;11.338,776302
Total;04 Balears, Illes;5 años;2038;11.204,060703
Total;04 Balears, Illes;5 años;2037;11.069,333759
Total;04 Balears, Illes;5 años;2036;10.933,31733
Total;04 Balears, Illes;5 años;2035;10.793,348302
Total;04 Balears, Illes;5 años;2034;10.647,78588
Total;04 Balears, Illes;5 años;2033;10.494,768981
Total;04 Balears, Illes;5 años;2032;10.332,46409
Total;04 Balears, Illes;5 años;2031;10.162,767766
Total;04 Balears, Illes;5 años;2030;9.991,433307
Total;04 Balears, Illes;5 años;2029;9.811,638731
Total;04 Balears, Illes;5 años;2028;9.886,254013
Total;04 Balears, Illes;5 años;2027;10.417,419095
Total;04 Balears, Illes;5 años;2026;10.220,091654
Total;04 Balears, Illes;5 años;2025;10.288,674746
Total;04 Balears, Illes;5 años;2024;10.818
Total;04 Balears, Illes;6 años;2041;""
Total;04 Balears, Illes;6 años;2040;""
Total;04 Balears, Illes;6 años;2039;11.263,514035
Total;04 Balears, Illes;6 años;2038;11.130,707705
Total;04 Balears, Illes;6 años;2037;10.997,181645
Total;04 Balears, Illes;6 años;2036;10.860,603879
Total;04 Balears, Illes;6 años;2035;10.719,696367
Total;04 Balears, Illes;6 años;2034;10.573,012358
Total;04 Balears, Illes;6 años;2033;10.419,160528
Total;04 Balears, Illes;6 años;2032;10.260,398223
Total;04 Balears, Illes;6 años;2031;10.102,705711
Total;04 Balears, Illes;6 años;2030;9.942,442556
Total;04 Balears, Illes;6 años;2029;10.035,834745
Total;04 Balears, Illes;6 años;2028;10.569,841937
Total;04 Balears, Illes;6 años;2027;10.395,555526
Total;04 Balears, Illes;6 años;2026;10.478,132348
Total;04 Balears, Illes;6 años;2025;11.001,352464
Total;04 Balears, Illes;6 años;2024;11.019
Total;04 Balears, Illes;7 años;2041;""
Total;04 Balears, Illes;7 años;2040;""
Total;04 Balears, Illes;7 años;2039;11.197,162848
Total;04 Balears, Illes;7 años;2038;11.065,148424
Total;04 Balears, Illes;7 años;2037;10.930,622406
Total;04 Balears, Illes;7 años;2036;10.792,612341
Total;04 Balears, Illes;7 años;2035;10.650,044786
Total;04 Balears, Illes;7 años;2034;10.501,964961
Total;04 Balears, Illes;7 años;2033;10.351,05278
Total;04 Balears, Illes;7 años;2032;10.203,669069
Total;04 Balears, Illes;7 años;2031;10.059,409813
Total;04 Balears, Illes;7 años;2030;10.169,018063
Total;04 Balears, Illes;7 años;2029;10.705,719024
Total;04 Balears, Illes;7 años;2028;10.554,913061
Total;04 Balears, Illes;7 años;2027;10.656,096534
Total;04 Balears, Illes;7 años;2026;11.184,331447
Total;04 Balears, Illes;7 años;2025;11.205,541466
Total;04 Balears, Illes;7 años;2024;11.604
Total;04 Balears, Illes;8 años;2041;""
Total;04 Balears, Illes;8 años;2040;""
Total;04 Balears, Illes;8 años;2039;11.138,483652
Total;04 Balears, Illes;8 años;2038;11.005,060383
Total;04 Balears, Illes;8 años;2037;10.868,653177
Total;04 Balears, Illes;8 años;2036;10.728,507399
Total;04 Balears, Illes;8 años;2035;10.584,065179
Total;04 Balears, Illes;8 años;2034;10.438,427902
Total;04 Balears, Illes;8 años;2033;10.298,397794
Total;04 Balears, Illes;8 años;2032;10.166,689576
Total;04 Balears, Illes;8 años;2031;10.289,41792
Total;04 Balears, Illes;8 años;2030;10.827,60227
Total;04 Balears, Illes;8 años;2029;10.698,508043
Total;04 Balears, Illes;8 años;2028;10.819,217978
Total;04 Balears, Illes;8 años;2027;11.357,871381
Total;04 Balears, Illes;8 años;2026;11.393,628737
Total;04 Balears, Illes;8 años;2025;11.788,131993
Total;04 Balears, Illes;8 años;2024;11.839
Total;04 Balears, Illes;9 años;2041;""
Total;04 Balears, Illes;9 años;2040;""
Total;04 Balears, Illes;9 años;2039;11.082,508402
Total;04 Balears, Illes;9 años;2038;10.946,795316
Total;04 Balears, Illes;9 años;2037;10.807,8168
Total;04 Balears, Illes;9 años;2036;10.665,35565
Total;04 Balears, Illes;9 años;2035;10.522,896679
Total;04 Balears, Illes;9 años;2034;10.387,679773
Total;04 Balears, Illes;9 años;2033;10.265,349719
Total;04 Balears, Illes;9 años;2032;10.397,971555
Total;04 Balears, Illes;9 años;2031;10.935,72856
Total;04 Balears, Illes;9 años;2030;10.825,312287
Total;04 Balears, Illes;9 años;2029;10.964,09813
Total;04 Balears, Illes;9 años;2028;11.514,56221
Total;04 Balears, Illes;9 años;2027;11.569,738389
Total;04 Balears, Illes;9 años;2026;11.972,115977
Total;04 Balears, Illes;9 años;2025;12.021,628936
Total;04 Balears, Illes;9 años;2024;11.971
Total;04 Balears, Illes;10 años;2041;""
Total;04 Balears, Illes;10 años;2040;""
Total;04 Balears, Illes;10 años;2039;11.025,028649
Total;04 Balears, Illes;10 años;2038;10.886,35983
Total;04 Balears, Illes;10 años;2037;10.744,670707
Total;04 Balears, Illes;10 años;2036;10.603,772828
Total;04 Balears, Illes;10 años;2035;10.471,301915
Total;04 Balears, Illes;10 años;2034;10.355,619409
Total;04 Balears, Illes;10 años;2033;10.495,098926
Total;04 Balears, Illes;10 años;2032;11.030,212169
Total;04 Balears, Illes;10 años;2031;10.934,922525
Total;04 Balears, Illes;10 años;2030;11.089,031594
Total;04 Balears, Illes;10 años;2029;11.650,139259
Total;04 Balears, Illes;10 años;2028;11.725,535245
Total;04 Balears, Illes;10 años;2027;12.141,059866
Total;04 Balears, Illes;10 años;2026;12.201,141465
Total;04 Balears, Illes;10 años;2025;12.150,078176
Total;04 Balears, Illes;10 años;2024;11.662
Total;04 Balears, Illes;11 años;2041;""
Total;04 Balears, Illes;11 años;2040;""
Total;04 Balears, Illes;11 años;2039;10.964,139657
Total;04 Balears, Illes;11 años;2038;10.822,394933
Total;04 Balears, Illes;11 años;2037;10.681,883764
Total;04 Balears, Illes;11 años;2036;10.550,580009
Total;04 Balears, Illes;11 años;2035;10.439,362844
Total;04 Balears, Illes;11 años;2034;10.583,125183
Total;04 Balears, Illes;11 años;2033;11.113,511422
Total;04 Balears, Illes;11 años;2032;11.029,875498
Total;04 Balears, Illes;11 años;2031;11.196,144175
Total;04 Balears, Illes;11 años;2030;11.765,487781
Total;04 Balears, Illes;11 años;2029;11.859,558882
Total;04 Balears, Illes;11 años;2028;12.289,373332
Total;04 Balears, Illes;11 años;2027;12.365,323902
Total;04 Balears, Illes;11 años;2026;12.325,90497
Total;04 Balears, Illes;11 años;2025;11.855,540268
Total;04 Balears, Illes;11 años;2024;12.200
Total;04 Balears, Illes;12 años;2041;""
Total;04 Balears, Illes;12 años;2040;""
Total;04 Balears, Illes;12 años;2039;10.900,964866
Total;04 Balears, Illes;12 años;2038;10.760,051694
Total;04 Balears, Illes;12 años;2037;10.628,79537
Total;04 Balears, Illes;12 años;2036;10.520,412668
Total;04 Balears, Illes;12 años;2035;10.666,460675
Total;04 Balears, Illes;12 años;2034;11.190,469394
Total;04 Balears, Illes;12 años;2033;11.115,461043
Total;04 Balears, Illes;12 años;2032;11.290,936884
Total;04 Balears, Illes;12 años;2031;11.865,822606
Total;04 Balears, Illes;12 años;2030;11.976,022053
Total;04 Balears, Illes;12 años;2029;12.419,053101
Total;04 Balears, Illes;12 años;2028;12.512,156137
Total;04 Balears, Illes;12 años;2027;12.489,861557
Total;04 Balears, Illes;12 años;2026;12.046,90809
Total;04 Balears, Illes;12 años;2025;12.391,812923
Total;04 Balears, Illes;12 años;2024;12.375
Total;04 Balears, Illes;13 años;2041;""
Total;04 Balears, Illes;13 años;2040;""
Total;04 Balears, Illes;13 años;2039;10.842,446004
Total;04 Balears, Illes;13 años;2038;10.710,480834
Total;04 Balears, Illes;13 años;2037;10.603,766457
Total;04 Balears, Illes;13 años;2036;10.750,635731
Total;04 Balears, Illes;13 años;2035;11.267,096919
Total;04 Balears, Illes;13 años;2034;11.198,274285
Total;04 Balears, Illes;13 años;2033;11.380,480054
Total;04 Balears, Illes;13 años;2032;11.958,405721
Total;04 Balears, Illes;13 años;2031;12.082,039823
Total;04 Balears, Illes;13 años;2030;12.536,274513
Total;04 Balears, Illes;13 años;2029;12.645,66971
Total;04 Balears, Illes;13 años;2028;12.642,058822
Total;04 Balears, Illes;13 años;2027;12.230,387364
Total;04 Balears, Illes;13 años;2026;12.587,510207
Total;04 Balears, Illes;13 años;2025;12.578,431199
Total;04 Balears, Illes;13 años;2024;12.753
Total;04 Balears, Illes;14 años;2041;""
Total;04 Balears, Illes;14 años;2040;""
Total;04 Balears, Illes;14 años;2039;10.802,697337
Total;04 Balears, Illes;14 años;2038;10.696,849851
Total;04 Balears, Illes;14 años;2037;10.843,525396
Total;04 Balears, Illes;14 años;2036;11.351,739693
Total;04 Balears, Illes;14 años;2035;11.287,256887
Total;04 Balears, Illes;14 años;2034;11.474,329517
Total;04 Balears, Illes;14 años;2033;12.053,283583
Total;04 Balears, Illes;14 años;2032;12.188,053876
Total;04 Balears, Illes;14 años;2031;12.651,416821
Total;04 Balears, Illes;14 años;2030;12.775,411677
Total;04 Balears, Illes;14 años;2029;12.790,064894
Total;04 Balears, Illes;14 años;2028;12.410,173909
Total;04 Balears, Illes;14 años;2027;12.785,598348
Total;04 Balears, Illes;14 años;2026;12.795,66403
Total;04 Balears, Illes;14 años;2025;12.975,459513
Total;04 Balears, Illes;14 años;2024;12.607
Total;04 Balears, Illes;15 años;2041;""
Total;04 Balears, Illes;15 años;2040;""
Total;04 Balears, Illes;15 años;2039;10.809,789648
Total;04 Balears, Illes;15 años;2038;10.955,597521
Total;04 Balears, Illes;15 años;2037;11.455,278344
Total;04 Balears, Illes;15 años;2036;11.393,800206
Total;04 Balears, Illes;15 años;2035;11.584,484107
Total;04 Balears, Illes;15 años;2034;12.163,022268
Total;04 Balears, Illes;15 años;2033;12.307,248344
Total;04 Balears, Illes;15 años;2032;12.778,047133
Total;04 Balears, Illes;15 años;2031;12.914,881366
Total;04 Balears, Illes;15 años;2030;12.946,608979
Total;04 Balears, Illes;15 años;2029;12.597,311366
Total;04 Balears, Illes;15 años;2028;12.994,028077
Total;04 Balears, Illes;15 años;2027;13.029,419607
Total;04 Balears, Illes;15 años;2026;13.226,609021
Total;04 Balears, Illes;15 años;2025;12.878,528112
Total;04 Balears, Illes;15 años;2024;13.472
Total;04 Balears, Illes;16 años;2041;""
Total;04 Balears, Illes;16 años;2040;""
Total;04 Balears, Illes;16 años;2039;11.099,66534
Total;04 Balears, Illes;16 años;2038;11.590,848909
Total;04 Balears, Illes;16 años;2037;11.531,391293
Total;04 Balears, Illes;16 años;2036;11.724,951304
Total;04 Balears, Illes;16 años;2035;12.302,096353
Total;04 Balears, Illes;16 años;2034;12.454,726291
Total;04 Balears, Illes;16 años;2033;12.931,739544
Total;04 Balears, Illes;16 años;2032;13.079,847848
Total;04 Balears, Illes;16 años;2031;13.127,259769
Total;04 Balears, Illes;16 años;2030;12.806,607238
Total;04 Balears, Illes;16 años;2029;13.226,122388
Total;04 Balears, Illes;16 años;2028;13.290,053612
Total;04 Balears, Illes;16 años;2027;13.511,977026
Total;04 Balears, Illes;16 años;2026;13.196,233341
Total;04 Balears, Illes;16 años;2025;13.781,858525
