Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Total;Total Nacional;1 año;2037;393.071,090534
Total;Total Nacional;1 año;2036;387.972,515981
Total;Total Nacional;1 año;2035;382.991,04763
Total;Total Nacional;1 año;2034;378.139,785458
Total;Total Nacional;1 año;2033;373.380,786279
Total;Total Nacional;1 año;2032;368.637,968333
Total;Total Nacional;1 año;2031;363.782,549158
Total;Total Nacional;1 año;2030;358.683,658614
Total;Total Nacional;1 año;2029;353.239,925588
Total;Total Nacional;1 año;2028;347.417,081828
Total;Total Nacional;1 año;2027;341.322,751953
Total;Total Nacional;1 año;2026;335.262,09445
Total;Total Nacional;1 año;2025;331.289,749319
Total;Total Nacional;1 año;2024;329.790
Total;Total Nacional;2 años;2041;""
Total;Total Nacional;2 años;2040;""
Total;Total Nacional;2 años;2039;402.077,70566
Total;Total Nacional;2 años;2038;397.029,948101
Total;Total Nacional;2 años;2037;392.008,937283
Total;Total Nacional;2 años;2036;387.139,425117
Total;Total Nacional;2 años;2035;382.446,676136
Total;Total Nacional;2 años;2034;377.905,80358
Total;Total Nacional;2 años;2033;373.453,318989
Total;Total Nacional;2 años;2032;368.970,631583
Total;Total Nacional;2 años;2031;364.331,852454
Total;Total Nacional;2 años;2030;359.431,493663
Total;Total Nacional;2 años;2029;354.217,136219
Total;Total Nacional;2 años;2028;348.757,704375
Total;Total Nacional;2 años;2027;343.291,456928
Total;Total Nacional;2 años;2026;339.819,532081
Total;Total Nacional;2 años;2025;338.614,91293
Total;Total Nacional;2 años;2024;350.541
Total;Total Nacional;3 años;2041;""
Total;Total Nacional;3 años;2040;""
Total;Total Nacional;3 años;2039;400.851,214809
Total;Total Nacional;3 años;2038;395.881,285051
Total;Total Nacional;3 años;2037;391.084,543094
Total;Total Nacional;3 años;2036;386.496,695068
Total;Total Nacional;3 años;2035;382.104,923568
Total;Total Nacional;3 años;2034;377.858,697576
Total;Total Nacional;3 años;2033;373.652,178682
Total;Total Nacional;3 años;2032;369.369,764214
Total;Total Nacional;3 años;2031;364.911,189766
Total;Total Nacional;3 años;2030;360.220,362728
Total;Total Nacional;3 años;2029;355.348,506208
Total;Total Nacional;3 años;2028;350.495,856008
Total;Total Nacional;3 años;2027;347.652,535274
Total;Total Nacional;3 años;2026;347.021,443603
Total;Total Nacional;3 años;2025;358.754,155427
Total;Total Nacional;3 años;2024;356.878
Total;Total Nacional;4 años;2041;""
Total;Total Nacional;4 años;2040;""
Total;Total Nacional;4 años;2039;399.760,761689
Total;Total Nacional;4 años;2038;395.008,513946
Total;Total Nacional;4 años;2037;390.485,566342
Total;Total Nacional;4 años;2036;386.189,635922
Total;Total Nacional;4 años;2035;382.082,303196
Total;Total Nacional;4 años;2034;378.070,906741
Total;Total Nacional;4 años;2033;374.052,664742
Total;Total Nacional;4 años;2032;369.937,75765
Total;Total Nacional;4 años;2031;365.675,65955
Total;Total Nacional;4 años;2030;361.314,369964
Total;Total Nacional;4 años;2029;357.037,340941
Total;Total Nacional;4 años;2028;354.855,105414
Total;Total Nacional;4 años;2027;354.934,551613
Total;Total Nacional;4 años;2026;366.771,706539
Total;Total Nacional;4 años;2025;365.103,740509
Total;Total Nacional;4 años;2024;377.691
Total;Total Nacional;5 años;2041;""
Total;Total Nacional;5 años;2040;""
Total;Total Nacional;5 años;2039;398.981,966685
Total;Total Nacional;5 años;2038;394.494,082694
Total;Total Nacional;5 años;2037;390.252,454971
Total;Total Nacional;5 años;2036;386.229,231355
Total;Total Nacional;5 años;2035;382.344,058588
Total;Total Nacional;5 años;2034;378.507,382735
Total;Total Nacional;5 años;2033;374.642,354743
Total;Total Nacional;5 años;2032;370.709,294448
Total;Total Nacional;5 años;2031;366.762,414445
Total;Total Nacional;5 años;2030;362.983,298023
Total;Total Nacional;5 años;2029;361.424,677678
Total;Total Nacional;5 años;2028;362.244,597875
Total;Total Nacional;5 años;2027;374.345,55421
Total;Total Nacional;5 años;2026;373.189,186941
Total;Total Nacional;5 años;2025;385.879,191311
Total;Total Nacional;5 años;2024;397.269
Total;Total Nacional;6 años;2041;""
Total;Total Nacional;6 años;2040;""
Total;Total Nacional;6 años;2039;398.581,350968
Total;Total Nacional;6 años;2038;394.363,696898
Total;Total Nacional;6 años;2037;390.382,786326
Total;Total Nacional;6 años;2036;386.569,091392
Total;Total Nacional;6 años;2035;382.845,503562
Total;Total Nacional;6 años;2034;379.148,633371
Total;Total Nacional;6 años;2033;375.452,230049
Total;Total Nacional;6 años;2032;371.822,065072
Total;Total Nacional;6 años;2031;368.447,324985
Total;Total Nacional;6 años;2030;367.434,668357
Total;Total Nacional;6 años;2029;368.951,924145
Total;Total Nacional;6 años;2028;381.379,449527
Total;Total Nacional;6 años;2027;380.880,046489
Total;Total Nacional;6 años;2026;393.993,957225
Total;Total Nacional;6 años;2025;405.369,629123
Total;Total Nacional;6 años;2024;423.976
Total;Total Nacional;7 años;2041;""
Total;Total Nacional;7 años;2040;""
Total;Total Nacional;7 años;2039;398.532,664862
Total;Total Nacional;7 años;2038;394.563,892432
Total;Total Nacional;7 años;2037;390.779,973392
Total;Total Nacional;7 años;2036;387.114,766166
Total;Total Nacional;7 años;2035;383.517,573478
Total;Total Nacional;7 años;2034;379.976,063333
Total;Total Nacional;7 años;2033;376.570,126383
Total;Total Nacional;7 años;2032;373.501,826435
Total;Total Nacional;7 años;2031;372.936,397057
Total;Total Nacional;7 años;2030;375.063,042327
Total;Total Nacional;7 años;2029;387.809,348437
Total;Total Nacional;7 años;2028;387.996,350503
Total;Total Nacional;7 años;2027;401.687,36537
Total;Total Nacional;7 años;2026;413.395,455617
Total;Total Nacional;7 años;2025;431.934,909903
Total;Total Nacional;7 años;2024;446.720
Total;Total Nacional;8 años;2041;""
Total;Total Nacional;8 años;2040;""
Total;Total Nacional;8 años;2039;398.781,27936
Total;Total Nacional;8 años;2038;394.997,606087
Total;Total Nacional;8 años;2037;391.349,708277
Total;Total Nacional;8 años;2036;387.798,084518
Total;Total Nacional;8 años;2035;384.343,519079
Total;Total Nacional;8 años;2034;381.080,438807
Total;Total Nacional;8 años;2033;378.226,185207
Total;Total Nacional;8 años;2032;378.004,622904
Total;Total Nacional;8 años;2031;380.632,473198
Total;Total Nacional;8 años;2030;393.646,576898
Total;Total Nacional;8 años;2029;394.474,173191
Total;Total Nacional;8 años;2028;408.776,54623
Total;Total Nacional;8 años;2027;420.983,770462
Total;Total Nacional;8 años;2026;439.816,682113
Total;Total Nacional;8 años;2025;454.576,994222
Total;Total Nacional;8 años;2024;459.079
Total;Total Nacional;9 años;2041;""
Total;Total Nacional;9 años;2040;""
Total;Total Nacional;9 años;2039;399.206,795741
Total;Total Nacional;9 años;2038;395.547,605502
Total;Total Nacional;9 años;2037;392.001,253265
Total;Total Nacional;9 años;2036;388.580,068235
Total;Total Nacional;9 años;2035;385.392,107608
Total;Total Nacional;9 años;2034;382.670,227309
Total;Total Nacional;9 años;2033;382.694,3598
Total;Total Nacional;9 años;2032;385.710,986124
Total;Total Nacional;9 años;2031;398.917,781223
Total;Total Nacional;9 años;2030;400.296,716256
Total;Total Nacional;9 años;2029;415.166,844037
Total;Total Nacional;9 años;2028;427.913,743415
Total;Total Nacional;9 años;2027;447.208,529168
Total;Total Nacional;9 años;2026;462.303,030123
Total;Total Nacional;9 años;2025;466.900,399837
Total;Total Nacional;9 años;2024;467.748
Total;Total Nacional;10 años;2041;""
Total;Total Nacional;10 años;2040;""
Total;Total Nacional;10 años;2039;399.696,963562
Total;Total Nacional;10 años;2038;396.128,354401
Total;Total Nacional;10 años;2037;392.701,192447
Total;Total Nacional;10 años;2036;389.535,500095
Total;Total Nacional;10 años;2035;386.878,585514
Total;Total Nacional;10 años;2034;387.062,393205
Total;Total Nacional;10 años;2033;390.362,967011
Total;Total Nacional;10 años;2032;403.679,228681
Total;Total Nacional;10 años;2031;405.501,970996
Total;Total Nacional;10 años;2030;420.853,228299
Total;Total Nacional;10 años;2029;434.101,269012
Total;Total Nacional;10 años;2028;453.897,405397
Total;Total Nacional;10 años;2027;469.488,195308
Total;Total Nacional;10 años;2026;474.527,112201
Total;Total Nacional;10 años;2025;475.538,728708
Total;Total Nacional;10 años;2024;463.415
Total;Total Nacional;11 años;2041;""
Total;Total Nacional;11 años;2040;""
Total;Total Nacional;11 años;2039;400.209,020454
Total;Total Nacional;11 años;2038;396.749,052317
Total;Total Nacional;11 años;2037;393.567,106942
Total;Total Nacional;11 años;2036;390.923,226108
Total;Total Nacional;11 años;2035;391.196,968302
Total;Total Nacional;11 años;2034;394.692,096019
Total;Total Nacional;11 años;2033;408.039,772
Total;Total Nacional;11 años;2032;410.199,515784
Total;Total Nacional;11 años;2031;425.930,502875
Total;Total Nacional;11 años;2030;439.601,356252
Total;Total Nacional;11 años;2029;459.863,308828
Total;Total Nacional;11 años;2028;475.987,259143
Total;Total Nacional;11 años;2027;481.620,696132
Total;Total Nacional;11 años;2026;483.134,0839
Total;Total Nacional;11 años;2025;471.339,461579
Total;Total Nacional;11 años;2024;489.464
Total;Total Nacional;12 años;2041;""
